0.23	-0.24	1.01	0.68	-0.2	-0.65	0.28	-5.46	
0.28	-0.24	0.96	0.7	-0.22	-0.62	0.27	-2.48	
0.33	-0.25	0.97	0.68	-0.24	-0.64	0.27	-2.89	
0.41	-0.25	0.98	0.66	-0.25	-0.65	0.27	-3.87	
0.5	-0.27	0.98	0.66	-0.27	-0.65	0.28	-4.86	
0.58	-0.26	0.97	0.68	-0.25	-0.63	0.28	-4.93	
0.63	-0.26	0.97	0.69	-0.25	-0.61	0.29	-4.31	
0.27	-0.16	0.95	0.63	-0.08	-0.64	0.44	-27.4	
0.26	-0.07	0.97	0.51	0	-0.65	0.55	-46.64	
0.24	0	1.01	0.43	0.15	-0.65	0.6	-59.97	
0.26	0.07	1.02	0.4	0.2	-0.64	0.63	-64.4	
0.26	-0.39	0.98	0.72	-0.37	-0.56	0.17	11.4	
0.26	-0.46	0.98	0.72	-0.4	-0.56	0.1	18.48	
0.29	-0.54	0.99	0.71	-0.42	-0.56	0.09	14.52	
0.29	-0.61	0.99	0.72	-0.45	-0.52	0.12	7.78	
0.3	-0.71	0.99	0.73	-0.46	-0.5	0.05	10.95	
0.3	-0.77	1.01	0.72	-0.51	-0.47	-0.03	21.75	
0.32	-0.07	0.97	0.65	0.49	-0.51	0.26	-27.92	
0.35	0.01	0.97	0.64	0.55	-0.41	0.34	-44.49	
0.37	0.1	0.97	0.62	0.56	-0.38	0.39	-47.58	
0.29	-0.42	1.03	0.71	-0.37	-0.58	0.13	12.08	
0.27	-0.55	1.02	0.72	-0.45	-0.53	0.03	21.71	
0.45	-0.12	1	0.69	0.18	-0.65	0.26	-7.78	
0.44	-0.05	0.99	0.67	0.45	-0.51	0.32	-22.28	
0.42	0.05	0.99	0.61	0.41	-0.54	0.41	-52.25	
0.45	-0.41	1.03	0.7	-0.34	-0.61	0.17	3.72	
0.41	-0.55	1.03	0.72	-0.41	-0.56	0.07	11.29	
0.42	-0.63	1.05	0.72	-0.4	-0.56	0.07	3.37	
0.59	-0.25	1.03	0.68	-0.28	-0.61	0.3	-5.31	
0.57	-0.06	1.01	0.7	0.36	-0.57	0.25	-16.49	
0.59	0.02	1.02	0.68	0.37	-0.56	0.29	-37.52	
0.55	-0.49	1.05	0.7	-0.35	-0.6	0.17	-3.54	
0.53	-0.65	1.07	0.72	-0.41	-0.55	0.1	-2.65	
0.27	-0.29	0.71	0.68	-0.23	-0.64	0.27	-5.74	
0.29	-0.46	0.74	0.69	-0.35	-0.62	0.14	6.51	
0.28	-0.59	0.76	0.71	-0.43	-0.55	0.11	13.39	
0.27	-0.69	0.75	0.74	-0.46	-0.48	0.07	17.21	
0.31	-0.11	0.76	0.26	-0.27	-0.65	0.67	-30.04	
0.3	0.01	0.8	-0.08	-0.2	-0.68	0.7	-41.49	
0.28	0.16	0.8	-0.17	-0.1	-0.7	0.69	-55.97	
0.48	-0.27	0.74	0.65	-0.22	-0.66	0.31	-13.91	
0.48	-0.07	0.76	0.13	-0.27	-0.62	0.72	-29.86	
0.44	0.07	0.78	0.03	-0.17	-0.67	0.72	-48.61	
0.38	-0.5	0.74	0.7	-0.34	-0.62	0.12	3.77	
0.35	-0.62	0.71	0.74	-0.4	-0.53	0.07	10.76	
0.26	-0.23	1.14	0.63	-0.25	-0.67	0.29	-6.17	
0.29	-0.4	1.1	0.68	-0.44	-0.52	0.27	-9.55	
0.29	-0.59	1.12	0.7	-0.5	-0.48	0.16	-7.93	
0.27	-0.14	1.11	0.57	0.05	-0.67	0.48	-28.7	
0.25	-0.1	1.12	0.54	0.44	-0.51	0.51	-46.32	
0.24	0.03	1.17	0.34	0.33	-0.61	0.64	-60.3	
0.34	-0.24	1.15	0.62	-0.28	-0.67	0.3	-9.26	
0.29	-0.44	1.15	0.68	-0.28	-0.66	0.13	4.71	
0.3	-0.61	1.15	0.71	-0.21	-0.68	0.04	2.45	
0.35	-0.12	1.13	0.56	0.1	-0.66	0.49	-28.11	
0.42	-0.01	1.14	0.53	0.2	-0.62	0.54	-32.96	
0.43	0.09	1.11	0.5	0.3	-0.59	0.56	-56.65	
0.57	-0.08	1.13	0.62	0.31	-0.64	0.32	-32.51	
0.58	0.07	1.14	0.61	0.38	-0.61	0.35	-56.45	
